#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord
"TimeCreated","ProviderName","Message"
"7/30/2018 12:57:20 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e Windows Container {""SystemType"":""Container"",""Name"":""8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e"",""Owner"":""docker"",""IsDummy"":false,""VolumePath"":""\\\\?\\Volume{68de2edd-91d1-11e8-a97d-e11aa9aeca1e}"",""IgnoreFlushesDuringBoot"":true,""LayerFolderPath"":""D:\\windowsfilter\\8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e"",""Layers"":[{""ID"":""9d4b9065-9faa-5be9-b695-17c3477db109"",""Path"":""D:\\windowsfilter\\4dff2a78a6553cd946411892899718ef41d5757ca084cbabb55a742b9b0e1a29""},{""ID"":""7fd02fae-2624-5284-b49d-c3760774adb2"",""Path"":""D:\\windowsfilter\\c36747278b1624803327fa7f6e84196fa3cb2ca20a72c2bfb3c51d497c138488""},{""ID"":""c50ba0f7-3c47-5e16-a3ef-362b2d60c677"",""Path"":""D:\\windowsfilter\\aebb3575eba4cc86c952f55745e3ddf7561612abbd6036ab83ad400ee8612665""},{""ID"":""eb2cc490-45ec-59c3-8a07-e229e3bd70cb"",""Path"":""D:\\windowsfilter\\a1d40fab86bc771335574b5c76c42b247e15b4ccc1a603b5fe1df8300222d16c""},{""ID"":""8d61787e-f583-55b1-9062-ef95970b0f6f"",""Path"":""D:\\windowsfilter\\50aed65892257d536b1abae226b6e5e0f44bcfb30c3eea0c598e573eb7cbe51f""},{""ID"":""c665f4b6-742e-5e23-839f-34b01c33e993"",""Path"":""D:\\windowsfilter\\1d02768bef8c5b8c8dc5f4954900c873d22952b4b7a4631a165bcbba77983c48""},{""ID"":""62129658-421d-5b82-ab43-879df931116c"",""Path"":""D:\\windowsfilter\\b93eb179b4155c687625be88331e671bdaa09c5f1d2fcabbcd3263ff0fe2e8a4""}],""HostName"":""8be7697d14b0"",""MappedDirectories"":[{""HostPath"":""c:\\windows\\system32\\winevt\\logs"",""ContainerPath"":""c:\\eventlogs"",""ReadOnly"":true,""BandwidthMaximum"":0,""IOPSMaximum"":0},{""HostPath"":""c:\\programdata\\docker\\daemoncerts"",""ContainerPath"":""c:\\programdata\\docker\\daemoncerts"",""ReadOnly"":true,""BandwidthMaximum"":0,""IOPSMaximum"":0}],""HvPartition"":false,""EndpointList"":[""c64a86b3-5d5d-4f8b-8eb8-e27c7c6a6117""],""Servicing"":false,""AllowUnqualifiedDNSQuery"":true}"
"7/30/2018 12:57:21 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 2 0x00000000"
"7/30/2018 12:57:21 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 0xC0370103"
"7/30/2018 12:57:21 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 0x00000000 2 0x00000000"
"7/30/2018 12:57:23 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 3 0x00000000"
"7/30/2018 12:57:23 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 0xC0370103"
"7/30/2018 12:57:23 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 0x00000000 3 0x00000000"
"7/30/2018 12:57:23 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 0x00000000 4356 {""ApplicationName"":"""",""CommandLine"":""powershell.exe /bin/dsinfo.ps1"",""User"":"""",""WorkingDirectory"":""C:\\"",""Environment"":{""CLOUD_PROVIDER"":""unknown"",""CNI_PROVIDER"":""calico""},""EmulateConsole"":false,""CreateStdInPipe"":true,""CreateStdOutPipe"":true,""CreateStdErrPipe"":true,""ConsoleSize"":[0,0]}"
"7/30/2018 12:58:03 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 4356 65536 0x00000000"
"7/30/2018 12:58:03 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 0x00000000 4356 65536 0x00000000"
"7/30/2018 12:58:03 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 0xC0370103"
"7/30/2018 12:58:03 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 1 0x00000000"
"7/30/2018 12:58:03 PM","Microsoft-Windows-Hyper-V-Compute","8be7697d14b04553411fa42a9c298c7913e199c812e201063896b4e5cc15234e 0x00000000 1 0x00000000"
