ucp-proxy
2018-06-22T15:27:16.342260136Z {"level":"info","msg":"Configuring TLS: ca=/etc/docker/ssl/ca.pem cert=/etc/docker/ssl/cert.pem key=/etc/docker/ssl/key.pem","time":"2018-06-22T15:27:16Z"}
2018-06-22T15:27:16.365349139Z {"level":"info","msg":"Initializing kubernetes reverse TLS proxy for port 6443 on managers on :6444","time":"2018-06-22T15:27:16Z"}
2018-06-22T15:27:16.365376491Z {"level":"info","msg":"Initializing etcd reverse TLS proxy for port 12379 on managers on :12378","time":"2018-06-22T15:27:16Z"}
2018-06-22T15:27:31.217553154Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.217587773Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.217596617Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.217603431Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.233241962Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:32.483003855Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.577726408Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.577741532Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.577746154Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:37.603361652Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:37Z"}
2018-06-22T15:27:42.194586930Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.194606290Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.195057220Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.195069858Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.196045938Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.478018017Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:43.103009694Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:43Z"}
