ucp-kube-apiserver
2018-06-22T15:27:21.979284024Z I0622 15:27:21.971166       1 server.go:114] Version: v1.8.11-docker-8d637ae
2018-06-22T15:27:21.979343964Z I0622 15:27:21.971321       1 plugins.go:101] No cloud provider specified.
2018-06-22T15:27:22.413222226Z I0622 15:27:22.412163       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.413244956Z I0622 15:27:22.412709       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.422130342Z I0622 15:27:22.418922       1 feature_gate.go:162] feature gates: map[Initializers:true]
2018-06-22T15:27:22.422148354Z I0622 15:27:22.418977       1 initialization.go:84] enabled Initializers feature as part of admission plugin setup
2018-06-22T15:27:22.422155833Z W0622 15:27:22.419145       1 admission.go:66] PersistentVolumeLabel admission controller is deprecated. Please remove this controller from your configuration files and scripts.
2018-06-22T15:27:22.429301145Z E0622 15:27:22.428856       1 oidc.go:190] oidc authenticator: failed to fetch provider discovery data: Get https://enzi.example.com/.well-known/openid-configuration: EOF
2018-06-22T15:27:22.481847196Z I0622 15:27:22.481695       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.487249708Z I0622 15:27:22.486241       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.495379554Z I0622 15:27:22.491150       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.495393273Z I0622 15:27:22.491977       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.506288830Z I0622 15:27:22.496123       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.506307864Z I0622 15:27:22.497607       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.506315334Z I0622 15:27:22.498401       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.506321069Z I0622 15:27:22.499232       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.506326852Z I0622 15:27:22.500152       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.506332794Z I0622 15:27:22.501123       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.506338764Z I0622 15:27:22.501777       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.506344554Z I0622 15:27:22.502615       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.509338424Z I0622 15:27:22.503465       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.509366722Z I0622 15:27:22.504572       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.509374647Z I0622 15:27:22.505333       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.509380370Z I0622 15:27:22.506035       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.509386014Z I0622 15:27:22.506504       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.509391742Z I0622 15:27:22.507089       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
