ucp-proxy
2018-06-22T15:27:10.606178951Z {"level":"info","msg":"Configuring TLS: ca=/etc/docker/ssl/ca.pem cert=/etc/docker/ssl/cert.pem key=/etc/docker/ssl/key.pem","time":"2018-06-22T15:27:10Z"}
2018-06-22T15:27:10.615232247Z {"level":"info","msg":"Initializing etcd reverse TLS proxy for port 12379 on managers on :12378","time":"2018-06-22T15:27:10Z"}
2018-06-22T15:27:10.615255392Z {"level":"info","msg":"Initializing kubernetes reverse TLS proxy for port 6443 on managers on :6444","time":"2018-06-22T15:27:10Z"}
2018-06-22T15:27:20.976694271Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.976720858Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.976729209Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.976735737Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.981472823Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.981492002Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.981501089Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.981507829Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.981514365Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.981520850Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.992216624Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.992233202Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.992240623Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.992247156Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.992253340Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.992260424Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.992267005Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.992273573Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.992288618Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:21.006887298Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:21Z"}
2018-06-22T15:27:21.006904147Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:21Z"}
